;Consciente;DistracaoApp;SomCarro;DirecaoCarro;Percepcao
0;Consciente;Nao;Nao;Frente;Precipitado
1;Consciente;Nao;Nao;Direita;Arriscado
2;Consciente;Nao;Nao;Atras;Precipitado
3;Consciente;Nao;Sim;Direita;Arriscado
4;Consciente;Nao;Nao;Direita;Arriscado
5;Consciente;Nao;Sim;Frente;Esperado
6;Consciente;Nao;Nao;Esquerda;Atrasado
7;Consciente;Nao;Sim;Atras;Precipitado
8;Consciente;Nao;Sim;Atras;Perigoso
9;Consciente;Nao;Nao;Esquerda;Arriscado
10;Consciente;Nao;Nao;Atras;Precipitado
11;Consciente;Nao;Sim;Esquerda;Arriscado
12;Consciente;Nao;Sim;Direita;Atrasado
13;Consciente;Sim;Nao;Direita;Arriscado
14;Consciente;Sim;Sim;Direita;Arriscado
15;Consciente;Sim;Nao;Frente;Precipitado
16;Consciente;Sim;Sim;Atras;Precipitado
17;Consciente;Sim;Nao;Frente;Precipitado
18;Consciente;Sim;Sim;Direita;Arriscado
19;Consciente;Sim;Nao;Direita;Arriscado
20;Consciente;Sim;Sim;Frente;Precipitado
21;Consciente;Sim;Sim;Frente;Precipitado
22;Consciente;Sim;Nao;Atras;Arriscado
23;Consciente;Sim;Nao;Atras;Precipitado
24;Consciente;Sim;Sim;Atras;Precipitado
25;Consciente;Sim;Sim;Esquerda;Atrasado
26;Consciente;Sim;Nao;Esquerda;Esperado
27;Consciente;Sim;Nao;Esquerda;Arriscado
28;Inconsciente;Sim;Sim;Esquerda;Atrasado
29;Consciente;Sim;Nao;Atras;Precipitado
30;Consciente;Sim;Nao;Esquerda;Arriscado
31;Consciente;Sim;Nao;Direita;Esperado
32;Consciente;Sim;Nao;Esquerda;Esperado
33;Consciente;Sim;Nao;Frente;Esperado
34;Consciente;Sim;Sim;Direita;Arriscado
35;Consciente;Sim;Nao;Atras;Esperado
36;Consciente;Sim;Sim;Direita;Precipitado
37;Consciente;Sim;Sim;Frente;Precipitado
38;Consciente;Sim;Nao;Frente;Esperado
39;Consciente;Sim;Sim;Frente;Precipitado
40;Consciente;Sim;Sim;Atras;Esperado
41;Consciente;Sim;Sim;Atras;Esperado
42;Consciente;Sim;Sim;Esquerda;Arriscado
43;Consciente;Sim;Sim;Esquerda;Esperado
44;Inconsciente;Sim;Nao;Direita;Arriscado
45;Consciente;Sim;Sim;Frente;Esperado
46;Consciente;Sim;Sim;Atras;Esperado
47;Consciente;Sim;Nao;Frente;Esperado
48;Consciente;Sim;Sim;Direita;Esperado
49;Consciente;Sim;Sim;Atras;Precipitado
50;Consciente;Sim;Sim;Esquerda;Arriscado
51;Consciente;Sim;Nao;Frente;Esperado
52;Consciente;Sim;Nao;Direita;Arriscado
53;Consciente;Sim;Nao;Atras;Precipitado
54;Consciente;Sim;Sim;Frente;Esperado
55;Consciente;Sim;Sim;Esquerda;Esperado
56;Consciente;Sim;Nao;Esquerda;Arriscado
57;Consciente;Sim;Nao;Esquerda;Precipitado
58;Consciente;Sim;Sim;Direita;Precipitado
59;Inconsciente;Sim;Nao;Direita;Atrasado
60;Consciente;Nao;Nao;Esquerda;Arriscado
61;Consciente;Nao;Nao;Atras;Arriscado
62;Consciente;Nao;Sim;Atras;Precipitado
63;Consciente;Nao;Nao;Atras;Esperado
64;Consciente;Nao;Nao;Frente;Precipitado
65;Consciente;Nao;Nao;Direita;Esperado
66;Consciente;Nao;Nao;Esquerda;Esperado
67;Consciente;Nao;Sim;Esquerda;Arriscado
68;Consciente;Nao;Sim;Esquerda;Atrasado
69;Consciente;Nao;Sim;Frente;Esperado
70;Consciente;Nao;Sim;Frente;Precipitado
71;Consciente;Nao;Nao;Frente;Precipitado
72;Consciente;Nao;Sim;Atras;Precipitado
73;Consciente;Nao;Sim;Direita;Esperado
74;Consciente;Nao;Sim;Direita;Arriscado
75;Consciente;Nao;Nao;Direita;Precipitado
76;Consciente;Sim;Nao;Esquerda;Perigoso
77;Consciente;Sim;Sim;Esquerda;Precipitado
78;Consciente;Sim;Sim;Direita;Esperado
79;Consciente;Sim;Sim;Esquerda;Esperado
80;Consciente;Sim;Nao;Esquerda;Esperado
81;Consciente;Sim;Nao;Frente;Esperado
82;Consciente;Sim;Sim;Frente;Precipitado
83;Consciente;Sim;Sim;Frente;Esperado
84;Consciente;Sim;Nao;Frente;Precipitado
85;Consciente;Sim;Nao;Atras;Precipitado
86;Consciente;Sim;Sim;Atras;Precipitado
87;Consciente;Sim;Nao;Atras;Esperado
89;Inconsciente;Sim;Nao;Direita;Arriscado
90;Inconsciente;Sim;Sim;Atras;Perigoso
91;Inconsciente;Sim;Nao;Direita;Arriscado
92;Consciente;Sim;Nao;Atras;Arriscado
93;Consciente;Sim;Sim;Direita;Arriscado
94;Consciente;Sim;Sim;Atras;Esperado
95;Consciente;Sim;Sim;Esquerda;Atrasado
96;Consciente;Sim;Sim;Atras;Precipitado
97;Consciente;Sim;Sim;Direita;Precipitado
98;Consciente;Sim;Nao;Esquerda;Arriscado
99;Consciente;Sim;Nao;Esquerda;Arriscado
100;Consciente;Sim;Nao;Direita;Arriscado
101;Consciente;Sim;Sim;Esquerda;Precipitado
102;Consciente;Sim;Nao;Frente;Perigoso
103;Consciente;Sim;Sim;Frente;
104;Consciente;Sim;Sim;Frente;Arriscado
105;Consciente;Sim;Nao;Frente;Arriscado
106;Consciente;Sim;Nao;Atras;Precipitado
107;Consciente;Sim;Nao;Direita;Arriscado
108;Consciente;Nao;Nao;Atras;Esperado
109;Consciente;Nao;Nao;Esquerda;Arriscado
110;Consciente;Nao;Sim;Atras;Esperado
111;Consciente;Nao;Sim;Atras;Esperado
112;Consciente;Nao;Nao;Direita;Arriscado
113;Consciente;Nao;Nao;Atras;Esperado
114;Consciente;Nao;Nao;Frente;Arriscado
115;Consciente;Nao;Nao;Frente;Esperado
116;Consciente;Nao;Sim;Frente;Precipitado
117;Consciente;Nao;Sim;Frente;Esperado
118;Consciente;Nao;Sim;Esquerda;Atrasado
119;Consciente;Nao;Nao;Esquerda;Precipitado
120;Consciente;Nao;Sim;Esquerda;Esperado
121;Consciente;Nao;Sim;Direita;Precipitado
122;Consciente;Nao;Nao;Direita;Esperado
123;Consciente;Nao;Sim;Direita;Precipitado
124;Consciente;Sim;Nao;Frente;Esperado
125;Consciente;Sim;Nao;Direita;Esperado
126;Consciente;Sim;Sim;Esquerda;Arriscado
127;Consciente;Sim;Sim;Atras;Esperado
128;Consciente;Sim;Sim;Frente;Esperado
129;Consciente;Sim;Sim;Frente;Esperado
130;Consciente;Sim;Nao;Atras;Esperado
131;Consciente;Sim;Nao;Esquerda;Arriscado
132;Consciente;Sim;Nao;Direita;Arriscado
133;Consciente;Sim;Nao;Frente;Esperado
134;Consciente;Sim;Sim;Atras;Esperado
135;Consciente;Sim;Nao;Atras;Esperado
136;Consciente;Sim;Sim;Esquerda;Arriscado
137;Consciente;Sim;Nao;Esquerda;Arriscado
138;Consciente;Sim;Sim;Direita;Esperado
139;Consciente;Sim;Sim;Direita;Atrasado
140;Consciente;Sim;Nao;Frente;Esperado
141;Consciente;Sim;Nao;Frente;Esperado
142;Consciente;Sim;Sim;Frente;Arriscado
143;Consciente;Sim;Sim;Direita;Arriscado
144;Consciente;Sim;Sim;Esquerda;Arriscado
145;Consciente;Sim;Sim;Atras;Esperado
146;Consciente;Sim;Nao;Atras;Arriscado
147;Consciente;Sim;Sim;Esquerda;Esperado
148;Consciente;Sim;Sim;Direita;Esperado
149;Consciente;Sim;Sim;Frente;Precipitado
150;Consciente;Sim;Nao;Atras;Arriscado
151;Consciente;Sim;Sim;Atras;Precipitado
152;Consciente;Sim;Nao;Esquerda;Arriscado
154;Inconsciente;Sim;Nao;Esquerda;Atrasado
155;Inconsciente;Sim;Nao;Direita;Arriscado
156;Consciente;Sim;Sim;Frente;Esperado
157;Consciente;Sim;Sim;Frente;Esperado
158;Consciente;Sim;Sim;Esquerda;Arriscado
159;Consciente;Sim;Nao;Atras;Esperado
160;Consciente;Sim;Nao;Frente;Arriscado
161;Consciente;Sim;Nao;Esquerda;Arriscado
162;Consciente;Sim;Nao;Frente;Esperado
163;Consciente;Sim;Sim;Atras;Esperado
164;Consciente;Sim;Sim;Atras;Esperado
165;Consciente;Sim;Nao;Atras;Arriscado
166;Consciente;Sim;Sim;Esquerda;Arriscado
167;Consciente;Sim;Sim;Direita;Esperado
168;Consciente;Sim;Sim;Direita;Esperado
169;Consciente;Sim;Nao;Direita;Atrasado
170;Inconsciente;Sim;Nao;Esquerda;Atrasado
171;Inconsciente;Sim;Nao;Direita;Arriscado
172;Consciente;Nao;Sim;Frente;Esperado
173;Consciente;Nao;Sim;Frente;Precipitado
174;Consciente;Nao;Nao;Frente;Esperado
175;Consciente;Nao;Sim;Atras;Esperado
176;Consciente;Nao;Nao;Frente;Precipitado
177;Consciente;Nao;Nao;Atras;Precipitado
178;Consciente;Nao;Sim;Atras;Precipitado
179;Consciente;Nao;Nao;Atras;Arriscado
180;Consciente;Nao;Sim;Esquerda;Atrasado
181;Consciente;Nao;Nao;Esquerda;Atrasado
182;Consciente;Nao;Nao;Esquerda;Atrasado
183;Consciente;Nao;Sim;Esquerda;Atrasado
184;Consciente;Nao;Sim;Direita;Precipitado
185;Consciente;Nao;Nao;Direita;Arriscado
186;Consciente;Nao;Sim;Direita;Arriscado
187;Inconsciente;Nao;Nao;Direita;Atrasado
188;Consciente;Sim;Sim;Frente;Arriscado
189;Consciente;Sim;Sim;Direita;Esperado
190;Consciente;Sim;Nao;Direita;Atrasado
191;Consciente;Sim;Sim;Esquerda;Arriscado
192;Consciente;Sim;Nao;Atras;Esperado
193;Consciente;Sim;Sim;Direita;Precipitado
194;Consciente;Sim;Nao;Frente;Esperado
195;Consciente;Sim;Nao;Direita;Arriscado
196;Consciente;Sim;Sim;Frente;Esperado
197;Consciente;Sim;Sim;Atras;Arriscado
198;Consciente;Sim;Nao;Esquerda;Precipitado
199;Consciente;Sim;Nao;Esquerda;Arriscado
200;Consciente;Sim;Sim;Esquerda;Precipitado
201;Inconsciente;Sim;Nao;Frente;Perigoso
202;Inconsciente;Sim;Sim;Atras;Atrasado
203;Inconsciente;Sim;Nao;Atras;Atrasado
204;Consciente;Nao;Sim;Direita;Arriscado
205;Consciente;Nao;Nao;Esquerda;Esperado
206;Consciente;Nao;Sim;Frente;Perigoso
207;Consciente;Nao;Sim;Esquerda;Atrasado
208;Consciente;Nao;Nao;Direita;Precipitado
209;Consciente;Nao;Sim;Atras;Arriscado
210;Consciente;Nao;Nao;Atras;Atrasado
211;Consciente;Nao;Nao;Frente;Arriscado
212;Consciente;Nao;Sim;Frente;Arriscado
213;Consciente;Nao;Nao;Atras;Atrasado
214;Consciente;Nao;Nao;Frente;Arriscado
215;Consciente;Nao;Sim;Esquerda;Arriscado
