	Aware	AppDistraction	CarSound	CarDirection
0	Aware	No	Off	Front
1	Aware	No	Off	Right
2	Aware	No	Off	Back
3	Aware	No	On	Right
4	Aware	No	Off	Right
5	Aware	No	On	Front
6	Aware	No	Off	Left
7	Aware	No	On	Back
8	Aware	No	On	Back
9	Aware	No	Off	Left
10	Aware	No	Off	Back
11	Aware	No	On	Left
12	Aware	No	On	Right
13	Aware	Yes	Off	Right
14	Aware	Yes	On	Right
15	Aware	Yes	Off	Front
16	Aware	Yes	On	Back
17	Aware	Yes	Off	Front
18	Aware	Yes	On	Right
19	Aware	Yes	Off	Right
20	Aware	Yes	On	Front
21	Aware	Yes	On	Front
22	Aware	Yes	Off	Back
23	Aware	Yes	Off	Back
24	Aware	Yes	On	Back
25	Aware	Yes	On	Left
26	Aware	Yes	Off	Left
27	Aware	Yes	Off	Left
28	Unaware	Yes	On	Left
29	Aware	Yes	Off	Back
30	Aware	Yes	Off	Left
31	Aware	Yes	Off	Right
32	Aware	Yes	Off	Left
33	Aware	Yes	Off	Front
34	Aware	Yes	On	Right
35	Aware	Yes	Off	Back
36	Aware	Yes	On	Right
37	Aware	Yes	On	Front
38	Aware	Yes	Off	Front
39	Aware	Yes	On	Front
40	Aware	Yes	On	Back
41	Aware	Yes	On	Back
42	Aware	Yes	On	Left
43	Aware	Yes	On	Left
44	Unaware	Yes	Off	Right
45	Aware	Yes	On	Front
46	Aware	Yes	On	Back
47	Aware	Yes	Off	Front
48	Aware	Yes	On	Right
49	Aware	Yes	On	Back
50	Aware	Yes	On	Left
51	Aware	Yes	Off	Front
52	Aware	Yes	Off	Right
53	Aware	Yes	Off	Back
54	Aware	Yes	On	Front
55	Aware	Yes	On	Left
56	Aware	Yes	Off	Left
57	Aware	Yes	Off	Left
58	Aware	Yes	On	Right
59	Unaware	Yes	Off	Right
60	Aware	No	Off	Left
61	Aware	No	Off	Back
62	Aware	No	On	Back
63	Aware	No	Off	Back
64	Aware	No	Off	Front
65	Aware	No	Off	Right
66	Aware	No	Off	Left
67	Aware	No	On	Left
68	Aware	No	On	Left
69	Aware	No	On	Front
70	Aware	No	On	Front
71	Aware	No	Off	Front
72	Aware	No	On	Back
73	Aware	No	On	Right
74	Aware	No	On	Right
75	Aware	No	Off	Right
76	Aware	Yes	Off	Left
77	Aware	Yes	On	Left
78	Aware	Yes	On	Right
79	Aware	Yes	On	Left
80	Aware	Yes	Off	Left
81	Aware	Yes	Off	Front
82	Aware	Yes	On	Front
83	Aware	Yes	On	Front
84	Aware	Yes	Off	Front
85	Aware	Yes	Off	Back
86	Aware	Yes	On	Back
87	Aware	Yes	Off	Back
89	Unaware	Yes	Off	Right
90	Unaware	Yes	On	Back
91	Unaware	Yes	Off	Right
92	Aware	Yes	Off	Back
93	Aware	Yes	On	Right
94	Aware	Yes	On	Back
95	Aware	Yes	On	Left
96	Aware	Yes	On	Back
97	Aware	Yes	On	Right
98	Aware	Yes	Off	Left
99	Aware	Yes	Off	Left
100	Aware	Yes	Off	Right
101	Aware	Yes	On	Left
102	Aware	Yes	Off	Front
103	Aware	Yes	On	Front
104	Aware	Yes	On	Front
